ai_X_level,ai_O_level,starting_player,winner,moves,duration_s
1,3,X,O,8,0.023213
1,3,X,O,8,0.040321
1,3,X,Tie,9,0.047818
1,3,X,O,6,0.015094
1,3,X,O,8,0.023137
1,3,X,O,8,0.023649
1,3,X,O,6,0.030839
1,3,X,O,8,0.031699
1,3,X,O,8,0.024775
1,3,X,Tie,9,0.024325
1,3,X,Tie,9,0.021161
1,3,X,Tie,9,0.019890
1,3,X,Tie,9,0.061547
1,3,X,O,8,0.021761
1,3,X,O,8,0.022541
1,3,X,Tie,9,0.015516
1,3,X,O,6,0.025562
1,3,X,O,6,0.024366
1,3,X,O,6,0.023928
1,3,X,O,8,0.021134
1,3,X,O,8,0.016194
1,3,X,O,8,0.022572
1,3,X,Tie,9,0.034484
1,3,X,O,8,0.068870
1,3,X,O,6,0.033840
1,3,X,Tie,9,0.059947
1,3,X,O,6,0.047190
1,3,X,O,8,0.022153
1,3,X,O,8,0.024550
1,3,X,O,8,0.024385
1,3,X,O,6,0.019290
1,3,X,Tie,9,0.071312
1,3,X,O,8,0.035292
1,3,X,O,6,0.031868
1,3,X,O,8,0.021008
1,3,X,O,6,0.020455
1,3,X,O,8,0.031469
1,3,X,O,6,0.024109
1,3,X,O,8,0.024416
1,3,X,O,8,0.022467
1,3,X,O,8,0.025180
1,3,X,O,6,0.063624
1,3,X,Tie,9,0.024715
1,3,X,O,8,0.023791
1,3,X,O,6,0.013775
1,3,X,O,6,0.025016
1,3,X,O,6,0.024373
1,3,X,O,8,0.025663
1,3,X,Tie,9,0.024712
1,3,X,O,6,0.024660
1,3,X,O,8,0.021002
1,3,X,O,6,0.023009
1,3,X,Tie,9,0.069960
1,3,X,O,6,0.034850
1,3,X,O,8,0.014159
1,3,X,O,6,0.020414
1,3,X,O,6,0.021819
1,3,X,O,8,0.022453
1,3,X,O,6,0.055849
1,3,X,O,8,0.034967
1,3,X,O,8,0.031004
1,3,X,O,6,0.063102
1,3,X,O,8,0.038180
1,3,X,Tie,9,0.015668
1,3,X,O,8,0.023802
1,3,X,O,6,0.023645
1,3,X,O,8,0.022407
1,3,X,O,8,0.022294
1,3,X,O,6,0.015401
1,3,X,O,8,0.024338
1,3,X,O,8,0.024186
1,3,X,O,8,0.021617
1,3,X,O,8,0.062285
1,3,X,O,6,0.031420
1,3,X,O,8,0.015511
1,3,X,O,6,0.031829
1,3,X,O,8,0.020865
1,3,X,Tie,9,0.025417
1,3,X,O,6,0.027444
1,3,X,Tie,9,0.032355
1,3,X,O,8,0.022340
1,3,X,O,6,0.013971
1,3,X,O,8,0.027921
1,3,X,O,8,0.068864
1,3,X,O,8,0.023248
1,3,X,O,8,0.024780
1,3,X,Tie,9,0.015341
1,3,X,O,8,0.023773
1,3,X,O,8,0.023551
1,3,X,O,6,0.023314
1,3,X,O,8,0.024815
1,3,X,O,6,0.020572
1,3,X,O,8,0.026754
1,3,X,O,8,0.063800
1,3,X,O,8,0.041492
1,3,X,Tie,9,0.021096
1,3,X,O,6,0.024312
1,3,X,O,8,0.024621
1,3,X,O,6,0.018725
1,3,X,O,6,0.014400
1,3,O,O,7,0.116609
1,3,O,O,7,0.162725
1,3,O,O,5,0.111585
1,3,O,O,5,0.158550
1,3,O,O,5,0.115618
1,3,O,O,5,0.159562
1,3,O,O,7,0.112409
1,3,O,O,5,0.161666
1,3,O,O,5,0.117331
1,3,O,O,5,0.157107
1,3,O,O,5,0.112895
1,3,O,O,7,0.119327
1,3,O,O,5,0.160659
1,3,O,O,7,0.170424
1,3,O,O,5,0.166105
1,3,O,O,7,0.116663
1,3,O,O,5,0.163702
1,3,O,O,5,0.115454
1,3,O,O,9,0.164238
1,3,O,O,5,0.113043
1,3,O,O,5,0.160088
1,3,O,O,7,0.114624
1,3,O,O,5,0.164354
1,3,O,O,7,0.114621
1,3,O,O,5,0.112036
1,3,O,O,5,0.164070
1,3,O,O,5,0.112251
1,3,O,O,5,0.144192
1,3,O,O,5,0.118721
1,3,O,O,5,0.112242
1,3,O,O,5,0.158552
1,3,O,O,5,0.116260
1,3,O,O,7,0.158029
1,3,O,O,5,0.115674
1,3,O,O,5,0.158965
1,3,O,O,5,0.114277
1,3,O,O,7,0.156342
1,3,O,O,9,0.122874
1,3,O,O,5,0.113667
1,3,O,O,5,0.154227
1,3,O,O,7,0.120911
1,3,O,O,5,0.159680
1,3,O,O,5,0.116019
1,3,O,O,7,0.154894
1,3,O,O,7,0.116016
1,3,O,O,5,0.157932
1,3,O,O,5,0.111994
1,3,O,O,5,0.181627
1,3,O,O,5,0.181891
1,3,O,O,5,0.129464
1,3,O,O,5,0.136051
1,3,O,O,9,0.113045
1,3,O,O,5,0.160396
1,3,O,O,5,0.114631
1,3,O,O,5,0.161439
1,3,O,O,7,0.114017
1,3,O,O,7,0.166062
1,3,O,O,5,0.112847
1,3,O,O,5,0.113528
1,3,O,O,5,0.158048
1,3,O,O,7,0.116436
1,3,O,O,5,0.157868
1,3,O,O,7,0.117404
1,3,O,O,5,0.158252
1,3,O,O,7,0.113439
1,3,O,O,5,0.148157
1,3,O,O,5,0.114685
1,3,O,O,7,0.163083
1,3,O,O,5,0.115647
1,3,O,O,5,0.114147
1,3,O,O,5,0.161618
1,3,O,O,5,0.114745
1,3,O,O,5,0.161304
1,3,O,O,5,0.114461
1,3,O,O,7,0.163336
1,3,O,O,5,0.115467
1,3,O,O,9,0.165936
1,3,O,O,5,0.113265
1,3,O,O,5,0.170214
1,3,O,O,7,0.117534
1,3,O,O,9,0.115423
1,3,O,O,5,0.164542
